timestamp,open,high,low,close,volume
2025-11-12 04:00:00+00:00,103214.9,103390.4,103185.1,103390.3,206.336
2025-11-12 04:15:00+00:00,103390.4,103418.8,103157.4,103163.6,270.2543
2025-11-12 04:30:00+00:00,103163.6,103196.2,102976.1,103040.0,390.3145
2025-11-12 04:45:00+00:00,103040.0,103210.6,102994.2,103205.6,270.3411
2025-11-12 05:00:00+00:00,103205.6,103300.0,103189.4,103226.2,212.1887
2025-11-12 05:15:00+00:00,103226.3,103398.0,103216.2,103318.8,317.1921
2025-11-12 05:30:00+00:00,103318.7,103344.8,103230.8,103344.8,188.9647
2025-11-12 05:45:00+00:00,103344.8,103430.1,103249.2,103350.0,200.1745
2025-11-12 06:00:00+00:00,103350.0,103577.9,103313.7,103500.0,510.0238
2025-11-12 06:15:00+00:00,103500.0,103611.9,103432.6,103479.2,463.9636
2025-11-12 06:30:00+00:00,103479.1,103500.0,103345.5,103386.0,185.3823
2025-11-12 06:45:00+00:00,103385.9,103426.5,103296.0,103306.2,308.7431
2025-11-12 07:00:00+00:00,103306.1,103491.1,103281.7,103455.1,248.4082
2025-11-12 07:15:00+00:00,103455.1,103491.4,103373.9,103382.8,167.14260000000002
2025-11-12 07:30:00+00:00,103382.8,103464.0,103313.5,103340.0,208.6431
2025-11-12 07:45:00+00:00,103340.0,103340.1,103000.0,103072.3,837.0934
2025-11-12 08:00:00+00:00,103072.3,103270.0,103072.3,103237.4,400.0179
2025-11-12 08:15:00+00:00,103237.4,103869.8,103237.3,103814.1,1424.8587
2025-11-12 08:30:00+00:00,103814.2,104188.0,103710.0,104015.1,1754.5832
2025-11-12 08:45:00+00:00,104015.1,104159.2,103974.1,104101.1,673.594
2025-11-12 09:00:00+00:00,104101.2,104870.0,104093.4,104750.2,3103.8749
2025-11-12 09:15:00+00:00,104750.3,105100.0,104688.0,104733.9,2480.2158
2025-11-12 09:30:00+00:00,104734.0,104845.8,104375.4,104553.4,1700.7045
